discipline;type;name;memo_time;recall_time;world;international;national;standard_k0;standard_k1
5min_binary;binary;Binary Numbers;5;15;0;0;1;1178;
5min_names;names;Names & Faces;5;15;0;0;1;95;
5min_numbers;numbers;Speed Numbers;5;15;1;1;1;547;
5min_dates;dates;Historic Dates;5;15;1;1;1;142;
5min_words;words;Random Words;5;15;0;0;1;125;
5min_images;images;Random Images;5;15;1;1;1;373;
10min_cards;cards;Random Cards;10;30;0;0;1;436;
15min_numbers;numbers;Random Numbers;15;30;0;0;1;1112;
15min_names;names;Names & Faces;15;30;1;1;0;210;
15min_words;words;Random Words;15;40;1;1;0;312;
30min_binary;binary;Binary Numbers;30;60;1;1;0;6171;
30min_cards;cards;Random Cards;30;60;0;1;0;1077;
30min_numbers;numbers;Random Numbers;30;60;0;1;0;1752;
60min_cards;cards;Random Cards;60;120;1;0;0;1852;
60min_numbers;numbers;Random Numbers;60;120;1;0;0;3234;
spoken_numbers;spoken;Spoken Numbers;-1;5;1;1;1;;47.3
speed_cards;cards;Speed Cards;5;5;1;1;1;111.4;8030;
